embed_dim,dropout,modality_dropout,lr,weight_decay,batch_size,num_layers,val_f1_macro,val_acc,best_epoch
160,0.15,0.15,0.001,0.0001,32,2,0.5729847494553376,0.6333333333333333,10
160,0.35,0.15,0.001,0.01,32,3,0.5584615384615385,0.6333333333333333,10
160,0.35,0.25,0.001,0.01,32,4,0.5584615384615385,0.6333333333333333,10
160,0.15,0.15,0.0003,0.0001,32,3,0.5505523937060596,0.6222222222222222,8
160,0.15,0.15,0.0003,0.001,32,4,0.5505523937060596,0.6222222222222222,8
192,0.15,0.25,0.0001,0.01,64,3,0.549371263656978,0.5888888888888889,8
160,0.25,0.15,0.0003,0.01,32,4,0.5480019493177387,0.6,10
192,0.25,0.0,0.0003,0.01,32,3,0.5366751918158568,0.6,3
192,0.25,0.15,0.0001,0.0001,16,3,0.5365428478331704,0.5666666666666667,2
192,0.25,0.25,0.001,0.01,32,4,0.5356902356902357,0.6,10
160,0.25,0.25,0.001,0.001,32,4,0.5278245235526788,0.5888888888888889,17
192,0.15,0.25,0.001,0.001,16,4,0.5274877487748775,0.5888888888888889,10
224,0.25,0.0,0.001,0.001,64,4,0.5267857142857143,0.5777777777777777,15
192,0.15,0.25,0.001,0.0001,32,4,0.5248995039343141,0.5333333333333333,4
192,0.15,0.15,0.001,0.01,32,3,0.5248995039343141,0.5333333333333333,4
192,0.15,0.25,0.001,0.01,32,3,0.5248995039343141,0.5333333333333333,4
160,0.25,0.15,0.0001,0.01,32,4,0.5247898607827687,0.5777777777777777,9
224,0.35,0.15,0.0003,0.001,64,4,0.5184788696096069,0.6,9
160,0.15,0.15,0.0003,0.01,16,2,0.5179662562699499,0.5444444444444444,2
224,0.25,0.0,0.0003,0.01,32,2,0.5149799885648942,0.6,10
224,0.25,0.15,0.0001,0.01,32,2,0.5108024691358024,0.6111111111111112,15
224,0.25,0.0,0.0003,0.01,16,2,0.5101006036217304,0.5222222222222223,8
160,0.25,0.25,0.0003,0.0001,64,2,0.5100371600253005,0.5444444444444444,4
160,0.15,0.0,0.001,0.0001,64,4,0.5048100048100048,0.5888888888888889,13
