embed_dim,num_heads,ff_dim,num_layers,dropout,lr,weight_decay,batch_size,val_f1_macro,val_acc,best_epoch
256,4,2048,2,0.3,0.0003,0.01,32,0.30493127483551563,0.3111111111111111,9
512,8,2048,2,0.3,0.0001,0.001,32,0.3046489288853821,0.3333333333333333,14
512,4,2048,4,0.3,0.0001,0.001,64,0.30432995575852717,0.3333333333333333,17
256,8,1024,4,0.3,0.0001,0.01,32,0.3041464407318066,0.34444444444444444,8
256,4,1024,4,0.1,0.0001,0.01,32,0.3032214546865056,0.3333333333333333,12
256,8,1024,4,0.3,0.0003,0.001,64,0.3029432914814975,0.3333333333333333,11
512,4,2048,2,0.3,0.0001,0.001,32,0.3028373742659457,0.3111111111111111,18
256,8,1024,2,0.3,0.001,0.001,64,0.3024830985025589,0.37777777777777777,5
512,8,2048,2,0.3,0.0003,0.001,64,0.30143031571602996,0.32222222222222224,11
512,8,1024,4,0.3,0.0003,0.01,64,0.301055136349254,0.32222222222222224,15
256,4,1024,2,0.1,0.001,0.01,32,0.3007963840221905,0.32222222222222224,18
512,8,2048,2,0.1,0.0003,0.01,32,0.30055226391631923,0.3333333333333333,8
256,8,1024,4,0.3,0.0003,0.001,32,0.3004348032919461,0.3111111111111111,19
512,8,2048,2,0.3,0.0003,0.01,32,0.3002485564061919,0.3,15
512,8,1024,4,0.3,0.0003,0.001,64,0.30023430829821807,0.32222222222222224,16
512,4,1024,4,0.1,0.0003,0.001,32,0.3001623699298118,0.3111111111111111,10
256,4,1024,4,0.3,0.0003,0.01,32,0.3001513391757294,0.32222222222222224,16
256,4,1024,4,0.3,0.0003,0.001,64,0.29997968418136484,0.36666666666666664,7
256,8,2048,4,0.3,0.0003,0.001,64,0.2997940155083012,0.3111111111111111,18
256,8,2048,4,0.3,0.0003,0.01,64,0.29959953839264186,0.3333333333333333,10
512,8,2048,4,0.1,0.0001,0.01,64,0.29925043537335133,0.32222222222222224,7
256,8,2048,4,0.3,0.0001,0.01,64,0.2990113264482129,0.34444444444444444,21
512,8,2048,2,0.3,0.0001,0.01,32,0.29851460106332667,0.3111111111111111,9
512,4,1024,2,0.1,0.001,0.001,64,0.29760063240538626,0.3111111111111111,12
256,4,1024,2,0.3,0.0003,0.001,32,0.29754881709768927,0.3333333333333333,13
512,8,2048,2,0.1,0.0003,0.001,64,0.29672826216605014,0.3111111111111111,9
512,4,2048,2,0.1,0.0001,0.01,64,0.29670912418623,0.3,22
256,8,2048,4,0.3,0.0001,0.01,32,0.29641412120403715,0.32222222222222224,17
512,4,1024,4,0.3,0.0003,0.01,32,0.29624825095626844,0.3111111111111111,15
256,4,2048,2,0.3,0.001,0.001,64,0.29623445959580413,0.32222222222222224,28
512,4,1024,4,0.1,0.0003,0.001,64,0.29597843935175266,0.3333333333333333,11
256,8,1024,2,0.3,0.0001,0.01,32,0.2948828993963177,0.3333333333333333,7
512,8,2048,2,0.3,0.0001,0.001,64,0.2948696145124717,0.3333333333333333,17
512,4,1024,4,0.1,0.0003,0.01,32,0.2945744177888941,0.3333333333333333,11
512,8,2048,4,0.3,0.0001,0.01,64,0.29427232245555224,0.3111111111111111,12
256,4,1024,2,0.1,0.0003,0.001,32,0.2940723131111979,0.3111111111111111,4
512,8,2048,4,0.1,0.0003,0.001,64,0.29274559238148873,0.3111111111111111,21
512,4,2048,4,0.1,0.0003,0.001,64,0.29253942956492945,0.32222222222222224,25
256,8,1024,2,0.3,0.001,0.001,32,0.29203007518797,0.34444444444444444,26
256,4,1024,2,0.3,0.0001,0.01,64,0.29169590643274856,0.35555555555555557,16
256,8,2048,4,0.3,0.0001,0.001,32,0.29136229558589805,0.3111111111111111,17
512,4,2048,4,0.1,0.0001,0.001,64,0.29022457994176054,0.32222222222222224,9
512,8,1024,4,0.1,0.0001,0.001,32,0.29022197660495536,0.28888888888888886,9
512,4,2048,2,0.3,0.0001,0.001,64,0.2901818909381934,0.3333333333333333,11
256,8,1024,4,0.3,0.0001,0.01,64,0.29003730218112117,0.3333333333333333,22
256,8,2048,2,0.1,0.001,0.001,64,0.28924266808766713,0.28888888888888886,21
512,8,2048,2,0.1,0.0003,0.001,32,0.2887897658083994,0.3,4
512,8,1024,2,0.3,0.001,0.01,64,0.2879051702581114,0.3333333333333333,25
256,4,1024,2,0.3,0.0003,0.01,32,0.28723511602044144,0.34444444444444444,7
256,8,1024,2,0.1,0.001,0.01,64,0.2866609256315139,0.3333333333333333,9
512,8,2048,4,0.1,0.0003,0.01,64,0.285795157117004,0.3111111111111111,16
512,4,2048,4,0.1,0.0003,0.01,64,0.28393630179344465,0.34444444444444444,7
256,4,1024,4,0.3,0.0001,0.001,32,0.28373788472017913,0.3111111111111111,19
256,4,1024,4,0.1,0.001,0.01,64,0.28330434754080075,0.3,25
256,4,1024,4,0.1,0.0003,0.001,64,0.2832242470173505,0.3333333333333333,4
256,4,1024,4,0.1,0.0001,0.001,64,0.28299319727891153,0.34444444444444444,7
256,4,2048,4,0.3,0.0003,0.01,64,0.2824125874125874,0.34444444444444444,15
256,4,1024,4,0.1,0.0003,0.01,64,0.28233548061134267,0.3333333333333333,6
256,8,1024,2,0.3,0.0001,0.001,32,0.28093715747168435,0.3333333333333333,14
512,4,2048,2,0.3,0.0001,0.01,32,0.2792585721157149,0.2777777777777778,9
256,4,1024,2,0.3,0.001,0.001,64,0.27866620332343467,0.3,7
256,4,1024,2,0.3,0.001,0.001,32,0.27743073938726115,0.32222222222222224,28
256,4,1024,2,0.3,0.001,0.01,32,0.2772688655041596,0.34444444444444444,28
256,8,2048,4,0.3,0.0003,0.01,32,0.2758342072006668,0.24444444444444444,21
512,4,2048,4,0.3,0.0001,0.01,64,0.27183055040197895,0.3333333333333333,7
256,4,2048,4,0.1,0.0003,0.01,32,0.2713762063965371,0.28888888888888886,18
256,8,1024,2,0.1,0.001,0.01,32,0.2713628875867965,0.3,12
512,8,1024,2,0.1,0.001,0.001,64,0.27104038168505934,0.2777777777777778,24
512,4,1024,4,0.3,0.0003,0.001,64,0.2705827708039119,0.34444444444444444,8
512,8,1024,4,0.1,0.0003,0.001,64,0.27045270623927214,0.3,6
512,4,2048,4,0.3,0.0003,0.01,32,0.26973866469664787,0.32222222222222224,15
512,8,1024,4,0.1,0.0003,0.01,32,0.2683872214069165,0.3,12
256,4,2048,2,0.3,0.001,0.01,64,0.2680986117888465,0.28888888888888886,21
256,4,1024,4,0.3,0.0003,0.01,64,0.2660796760175642,0.3333333333333333,7
512,4,2048,4,0.1,0.0003,0.001,32,0.26567717996289425,0.28888888888888886,17
256,4,1024,4,0.3,0.0001,0.001,64,0.2651995360356124,0.34444444444444444,17
256,4,2048,2,0.3,0.0001,0.001,64,0.2650253124505616,0.3111111111111111,18
256,4,2048,2,0.3,0.0003,0.001,32,0.2630262224643876,0.3333333333333333,5
512,4,2048,4,0.3,0.0003,0.01,64,0.2627763163477449,0.2777777777777778,9
512,4,1024,4,0.3,0.0003,0.01,64,0.2625416354739663,0.3333333333333333,8
256,4,2048,2,0.3,0.0001,0.01,64,0.2623042240151875,0.3,20
256,8,1024,2,0.1,0.001,0.001,32,0.26084464555052794,0.28888888888888886,12
256,4,1024,4,0.1,0.0003,0.001,32,0.2605229635920173,0.3,4
512,4,2048,2,0.1,0.001,0.01,64,0.25828067207377553,0.28888888888888886,11
256,8,1024,4,0.1,0.001,0.01,64,0.25689535689535686,0.28888888888888886,23
512,8,2048,2,0.3,0.001,0.01,64,0.25428381142666856,0.26666666666666666,27
512,4,2048,4,0.3,0.0003,0.001,64,0.2534471916005017,0.2777777777777778,13
512,4,1024,2,0.3,0.001,0.001,64,0.24928454140276798,0.25555555555555554,23
512,4,2048,2,0.3,0.001,0.01,64,0.2492063492063492,0.2777777777777778,26
256,4,1024,4,0.1,0.001,0.001,64,0.2471377483799844,0.25555555555555554,24
512,4,1024,2,0.1,0.001,0.01,64,0.24646658373073468,0.3111111111111111,11
256,8,1024,4,0.3,0.001,0.001,64,0.24129983077351497,0.3111111111111111,26
512,4,2048,2,0.1,0.001,0.001,64,0.24019568187635415,0.2777777777777778,8
512,8,2048,2,0.1,0.001,0.01,64,0.23533136271916888,0.3,18
512,8,2048,2,0.3,0.001,0.001,64,0.2332810047095761,0.3,23
512,4,2048,2,0.3,0.001,0.001,64,0.23128966271823415,0.26666666666666666,18
256,8,1024,4,0.3,0.001,0.01,64,0.23028257456828882,0.25555555555555554,30
256,8,2048,2,0.3,0.001,0.001,32,0.20049709162903104,0.2777777777777778,27
512,4,1024,4,0.1,0.001,0.01,64,0.1980999296270232,0.24444444444444444,6
256,8,2048,4,0.3,0.0001,0.001,64,0.1960741639313068,0.23333333333333334,4
512,8,2048,2,0.3,0.001,0.01,32,0.1687861404842537,0.2777777777777778,29
512,8,2048,2,0.1,0.001,0.001,64,0.16248336474609704,0.2222222222222222,6
256,8,2048,2,0.1,0.001,0.01,32,0.15866501639415456,0.2777777777777778,15
512,8,1024,2,0.3,0.001,0.01,32,0.15644149132521226,0.25555555555555554,6
256,8,1024,4,0.1,0.001,0.001,64,0.1352119429007301,0.23333333333333334,10
512,4,2048,2,0.1,0.001,0.01,32,0.12734724830275893,0.24444444444444444,20
512,8,1024,2,0.1,0.001,0.01,32,0.1270373251940072,0.2222222222222222,18
512,4,2048,2,0.1,0.001,0.001,32,0.11720779220779222,0.2111111111111111,12
256,8,2048,2,0.3,0.001,0.01,32,0.11437190260719673,0.2111111111111111,8
256,8,2048,2,0.1,0.001,0.001,32,0.1103404791929382,0.24444444444444444,10
512,8,2048,2,0.3,0.001,0.001,32,0.10771431957872636,0.2,8
256,8,1024,4,0.3,0.001,0.001,32,0.0891891891891892,0.2,5
512,4,1024,2,0.1,0.001,0.001,32,0.08308732297950626,0.18888888888888888,1
512,8,2048,4,0.3,0.001,0.001,64,0.07796234772978959,0.17777777777777778,4
