dataset,modalities,mask,val_f1_macro,test_acc,test_precision,test_recall,test_f1_macro
en,text+audio+images,111,0.6214,0.7333,0.7239,0.6563,0.6747
en,text,100,0.5487,0.7333,0.8024,0.656,0.6726
en,text+images,101,0.6383,0.6889,0.658,0.658,0.658
en,audio+images,011,0.7096,0.6333,0.6353,0.6461,0.6314
en,text+audio,110,0.504,0.6556,0.7628,0.5518,0.5387
en,images,001,0.6323,0.5889,0.5356,0.4895,0.5012
en,audio,010,0.5139,0.5556,0.4705,0.4632,0.4658
