embed_dim,dropout,modality_dropout,lr,weight_decay,batch_size,num_layers,val_f1_macro,val_acc,best_epoch
192,0.15,0.25,0.001,0.001,16,4,0.6958093427991131,0.7111111111111111,17
160,0.35,0.25,0.001,0.01,32,4,0.6847006755182855,0.7333333333333333,14
192,0.15,0.25,0.001,0.0001,32,4,0.6834963432901576,0.7444444444444445,16
160,0.25,0.25,0.0003,0.0001,64,2,0.6663917061077305,0.7222222222222222,10
192,0.25,0.15,0.0001,0.0001,16,3,0.6620203406751107,0.7,10
160,0.15,0.15,0.0003,0.0001,32,3,0.6608431116905694,0.7111111111111111,17
160,0.25,0.15,0.0003,0.01,32,4,0.6597375071329584,0.7222222222222222,9
224,0.35,0.15,0.0003,0.001,64,4,0.6577186430127607,0.6888888888888889,13
160,0.25,0.25,0.001,0.001,32,4,0.6576879910213244,0.7,19
192,0.25,0.25,0.001,0.01,32,4,0.6507956554685527,0.7111111111111111,10
160,0.15,0.15,0.001,0.0001,32,2,0.650107962923952,0.7,8
192,0.15,0.25,0.001,0.01,32,3,0.6493971693167918,0.7111111111111111,13
192,0.15,0.15,0.001,0.01,32,3,0.6479475057480172,0.7111111111111111,11
160,0.15,0.15,0.0003,0.001,32,4,0.6430250803342707,0.7222222222222222,9
160,0.15,0.15,0.0003,0.01,16,2,0.6430250803342707,0.7222222222222222,17
224,0.25,0.15,0.0001,0.01,32,2,0.6404830917874396,0.7222222222222222,8
224,0.25,0.0,0.001,0.001,64,4,0.6386406841990446,0.6888888888888889,9
224,0.25,0.0,0.0003,0.01,32,2,0.6359818084537187,0.6777777777777778,9
192,0.25,0.0,0.0003,0.01,32,3,0.6342862454025201,0.7,6
160,0.35,0.15,0.001,0.01,32,3,0.6315811615237373,0.6888888888888889,8
160,0.25,0.15,0.0001,0.01,32,4,0.6271066880195226,0.7,9
192,0.15,0.25,0.0001,0.01,64,3,0.6241365318057047,0.6888888888888889,10
224,0.25,0.0,0.0003,0.01,16,2,0.6217113665389528,0.6888888888888889,17
160,0.15,0.0,0.001,0.0001,64,4,0.6148388648388649,0.6333333333333333,5
