embed_dim,dropout,modality_dropout,lr,weight_decay,batch_size,num_layers,val_f1_macro,val_acc,best_epoch
192,0.25,0.15,0.0001,0.0001,16,3,0.664580793715292,0.7111111111111111,17
192,0.25,0.0,0.0003,0.01,32,3,0.6238198983297023,0.6777777777777778,14
160,0.25,0.15,0.0001,0.01,32,4,0.6202406888681399,0.7,15
160,0.25,0.25,0.001,0.001,32,4,0.6172027612543145,0.6333333333333333,9
224,0.25,0.0,0.001,0.001,64,4,0.6171976171976171,0.6666666666666666,18
160,0.35,0.25,0.001,0.01,32,4,0.6138641315111903,0.6666666666666666,7
160,0.35,0.15,0.001,0.01,32,3,0.6138641315111903,0.6666666666666666,7
192,0.15,0.25,0.0001,0.01,64,3,0.6089743589743589,0.6555555555555556,8
160,0.15,0.15,0.0003,0.001,32,4,0.6079450418160096,0.6666666666666666,7
160,0.15,0.15,0.0003,0.0001,32,3,0.6079450418160096,0.6666666666666666,7
192,0.25,0.25,0.001,0.01,32,4,0.606078431372549,0.6666666666666666,20
224,0.35,0.15,0.0003,0.001,64,4,0.604806186945151,0.6555555555555556,22
160,0.15,0.15,0.001,0.0001,32,2,0.6040087750244313,0.6444444444444445,6
160,0.25,0.15,0.0003,0.01,32,4,0.6036778036778037,0.6666666666666666,11
224,0.25,0.0,0.0003,0.01,32,2,0.5985714285714286,0.6555555555555556,14
224,0.25,0.0,0.0003,0.01,16,2,0.5937662024477,0.6333333333333333,10
160,0.15,0.15,0.0003,0.01,16,2,0.5923146831041568,0.6222222222222222,14
160,0.25,0.25,0.0003,0.0001,64,2,0.5920620391558606,0.6666666666666666,8
224,0.25,0.15,0.0001,0.01,32,2,0.5916574812509455,0.6444444444444445,14
192,0.15,0.25,0.001,0.0001,32,4,0.5892798742598857,0.6555555555555556,9
192,0.15,0.25,0.001,0.01,32,3,0.5892798742598857,0.6555555555555556,9
192,0.15,0.15,0.001,0.01,32,3,0.5892798742598857,0.6555555555555556,9
160,0.15,0.0,0.001,0.0001,64,4,0.5881836265467979,0.6666666666666666,8
192,0.15,0.25,0.001,0.001,16,4,0.5778752436647174,0.6111111111111112,15
