embed_dim,num_heads,ff_dim,num_layers,dropout,lr,weight_decay,batch_size,val_f1_macro,val_acc,best_epoch
512,4,1024,2,0.1,0.001,0.001,64,0.3912353511373307,0.4,24
256,8,1024,4,0.1,0.0001,0.01,32,0.38057713759577105,0.3888888888888889,9
512,4,1024,4,0.3,0.0001,0.001,64,0.3794152179726477,0.3888888888888889,21
512,8,1024,2,0.3,0.0001,0.01,32,0.37412042070757173,0.3888888888888889,14
512,8,1024,2,0.1,0.0001,0.01,32,0.3735058865514273,0.4,9
512,4,1024,4,0.3,0.0003,0.01,64,0.37246049333335857,0.37777777777777777,19
512,8,1024,2,0.3,0.0003,0.01,64,0.37188556016142227,0.3888888888888889,13
512,4,1024,4,0.3,0.0001,0.01,64,0.36739916810396617,0.37777777777777777,15
512,4,1024,4,0.3,0.0003,0.001,64,0.3673807520939255,0.37777777777777777,19
512,8,1024,2,0.3,0.0003,0.001,64,0.36588302764773356,0.37777777777777777,15
512,4,1024,2,0.3,0.0001,0.01,64,0.36526547151293604,0.37777777777777777,15
512,4,1024,4,0.1,0.0001,0.001,64,0.3632906110086638,0.4,9
512,4,1024,4,0.1,0.0001,0.01,64,0.36233887896449474,0.4,9
512,8,1024,2,0.3,0.0001,0.001,32,0.3614483023465226,0.4111111111111111,11
256,4,2048,4,0.3,0.0003,0.01,64,0.35674265192498017,0.36666666666666664,12
512,8,1024,4,0.3,0.0001,0.001,64,0.3556426332288401,0.36666666666666664,26
512,8,2048,2,0.3,0.0001,0.001,64,0.35529588847033067,0.36666666666666664,20
512,4,2048,4,0.1,0.0003,0.001,64,0.3537756011495507,0.3888888888888889,11
512,8,1024,4,0.1,0.0001,0.001,32,0.3535343724972208,0.35555555555555557,15
256,4,2048,2,0.1,0.0003,0.01,64,0.3529933957346301,0.37777777777777777,6
512,4,2048,2,0.3,0.0001,0.01,64,0.351093570668099,0.35555555555555557,22
512,4,1024,2,0.3,0.0001,0.001,64,0.35019169080448037,0.36666666666666664,15
512,8,2048,2,0.3,0.0001,0.01,32,0.3499242137173172,0.35555555555555557,11
512,4,1024,2,0.3,0.0003,0.001,32,0.3482208267922554,0.35555555555555557,14
512,8,2048,2,0.3,0.0001,0.01,64,0.3471775534170111,0.35555555555555557,25
512,4,1024,2,0.3,0.0001,0.01,32,0.34710984393757505,0.37777777777777777,11
512,8,1024,4,0.3,0.0001,0.01,64,0.3450812583097755,0.35555555555555557,22
512,8,2048,4,0.3,0.0001,0.01,32,0.34398359343737495,0.36666666666666664,12
256,8,1024,4,0.1,0.0001,0.001,32,0.342949735757843,0.35555555555555557,9
512,4,2048,2,0.1,0.0001,0.01,64,0.3416844887341782,0.34444444444444444,19
512,4,2048,2,0.1,0.0001,0.001,64,0.3416617371586315,0.34444444444444444,19
512,8,1024,2,0.3,0.0003,0.01,32,0.3407867606426196,0.3888888888888889,7
512,8,1024,4,0.1,0.0001,0.01,64,0.34056834580653617,0.35555555555555557,9
512,4,2048,2,0.3,0.0003,0.01,64,0.34040535961718227,0.36666666666666664,6
256,8,2048,2,0.3,0.0003,0.01,64,0.34009772786592884,0.35555555555555557,7
512,8,1024,2,0.1,0.0001,0.001,32,0.33991425241425244,0.35555555555555557,12
256,8,2048,4,0.3,0.0003,0.001,64,0.3397056328617114,0.34444444444444444,9
512,4,1024,4,0.3,0.0001,0.001,32,0.3388225659333654,0.37777777777777777,7
512,8,1024,4,0.1,0.0001,0.01,32,0.3385813017391964,0.34444444444444444,15
512,8,1024,4,0.3,0.0003,0.01,64,0.33834778779208163,0.35555555555555557,13
512,4,2048,2,0.3,0.0001,0.01,32,0.33759142914460216,0.34444444444444444,27
512,4,1024,2,0.1,0.0001,0.001,32,0.33597501078704084,0.35555555555555557,8
512,8,2048,4,0.3,0.0001,0.001,32,0.33457854406130266,0.35555555555555557,11
512,8,1024,2,0.3,0.0001,0.001,64,0.33453616489330773,0.35555555555555557,24
512,8,1024,2,0.1,0.0003,0.001,32,0.33357001153103105,0.35555555555555557,8
256,8,2048,4,0.1,0.0001,0.001,64,0.3331081199502252,0.35555555555555557,11
512,8,1024,2,0.1,0.0003,0.01,32,0.3330833953014404,0.34444444444444444,7
512,4,2048,2,0.3,0.0001,0.001,32,0.33260611151124414,0.34444444444444444,19
512,4,2048,2,0.1,0.0003,0.001,64,0.33226611226611225,0.35555555555555557,7
512,4,1024,2,0.3,0.0003,0.01,32,0.3322225950309442,0.35555555555555557,7
512,4,1024,4,0.1,0.0001,0.01,32,0.33163130354781206,0.37777777777777777,7
512,4,1024,2,0.3,0.001,0.001,64,0.33138290098648154,0.34444444444444444,15
256,4,2048,4,0.1,0.0001,0.001,64,0.3310998620536051,0.35555555555555557,11
512,4,2048,4,0.1,0.0001,0.001,64,0.330625135611466,0.3333333333333333,6
256,4,2048,2,0.1,0.0001,0.01,32,0.33051164615566236,0.34444444444444444,9
512,4,1024,2,0.1,0.0001,0.001,64,0.3301116077802038,0.35555555555555557,13
512,4,1024,2,0.3,0.0003,0.001,64,0.32935846102792043,0.35555555555555557,9
256,4,2048,2,0.1,0.0003,0.001,64,0.32924926490845596,0.36666666666666664,6
512,4,1024,2,0.3,0.0003,0.01,64,0.3291201629911307,0.35555555555555557,8
512,8,1024,4,0.1,0.0003,0.01,64,0.3274463631606489,0.34444444444444444,10
512,4,2048,4,0.1,0.0001,0.01,64,0.32744022575291926,0.3333333333333333,6
256,4,2048,4,0.1,0.0001,0.01,64,0.3273416100252682,0.35555555555555557,8
512,4,1024,2,0.3,0.0001,0.001,32,0.3272620876307512,0.36666666666666664,10
512,8,1024,2,0.1,0.001,0.01,64,0.3272357894206634,0.36666666666666664,14
512,4,1024,4,0.3,0.0003,0.01,32,0.32686324709095105,0.3333333333333333,20
512,4,1024,4,0.3,0.0001,0.01,32,0.32671554252199414,0.36666666666666664,7
512,4,1024,2,0.1,0.0003,0.01,64,0.3254491387198154,0.34444444444444444,7
512,4,1024,4,0.1,0.0001,0.001,32,0.32486899257085594,0.3888888888888889,7
512,4,2048,4,0.1,0.0003,0.01,32,0.324780588563928,0.3333333333333333,23
512,8,1024,4,0.3,0.0001,0.01,32,0.3241775188247473,0.35555555555555557,11
512,8,1024,4,0.3,0.0003,0.01,32,0.32325103467960614,0.3333333333333333,12
