embed_dim,dropout,modality_dropout,lr,weight_decay,batch_size,num_layers,val_f1_macro,val_acc,best_epoch
192,0.25,0.25,0.001,0.01,32,4,0.693078231292517,0.7444444444444445,13
192,0.25,0.0,0.0003,0.01,32,3,0.6864111943925711,0.7333333333333333,6
224,0.35,0.15,0.0003,0.001,64,4,0.6837904911180773,0.7222222222222222,13
160,0.15,0.15,0.001,0.0001,32,2,0.6814528261336772,0.7222222222222222,5
192,0.25,0.15,0.0001,0.0001,16,3,0.6792257683215129,0.7222222222222222,6
160,0.35,0.15,0.001,0.01,32,3,0.6736789134074535,0.7222222222222222,10
224,0.25,0.15,0.0001,0.01,32,2,0.6714619883040935,0.7222222222222222,23
160,0.25,0.25,0.001,0.001,32,4,0.668991218771967,0.7,6
160,0.15,0.15,0.0003,0.001,32,4,0.6557971014492754,0.6777777777777778,8
160,0.15,0.15,0.0003,0.0001,32,3,0.6557971014492754,0.6777777777777778,8
160,0.25,0.15,0.0003,0.01,32,4,0.6542857142857142,0.7222222222222222,18
192,0.15,0.25,0.0001,0.01,64,3,0.6529824561403509,0.7111111111111111,6
160,0.35,0.25,0.001,0.01,32,4,0.6511773620096754,0.6777777777777778,6
192,0.15,0.25,0.001,0.001,16,4,0.6503126503126503,0.7222222222222222,14
160,0.15,0.15,0.0003,0.01,16,2,0.6423611111111112,0.7,2
160,0.15,0.0,0.001,0.0001,64,4,0.6422742274227423,0.7,4
224,0.25,0.0,0.0003,0.01,32,2,0.640667545015371,0.6888888888888889,5
192,0.15,0.25,0.001,0.01,32,3,0.6394854237991493,0.7222222222222222,11
192,0.15,0.25,0.001,0.0001,32,4,0.6383810960281548,0.7111111111111111,10
192,0.15,0.15,0.001,0.01,32,3,0.6317256453060222,0.7111111111111111,10
224,0.25,0.0,0.0003,0.01,16,2,0.6304713804713805,0.7111111111111111,6
160,0.25,0.15,0.0001,0.01,32,4,0.6266487396359354,0.7111111111111111,17
160,0.25,0.25,0.0003,0.0001,64,2,0.6247099340153076,0.7111111111111111,14
224,0.25,0.0,0.001,0.001,64,4,0.6192234071643424,0.6888888888888889,11
